##

🇨🇳｜历年春晚,#genre#	
CCTV-1,http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8

CCTV-1,http://123.189.36.4:9901/tsfile/live/1156_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-1,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226559/index.m3u8

CCTV-1,http://171.8.245.118:808/hls/1/index.m3u8

CCTV-1,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8

CCTV-1,http://171.8.244.248:808/hls/1/index.m3u8

CCTV-1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8

CCTV-1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8

CCTV-1,http://116.162.6.191/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225490/index.m3u8

CCTV-1,http://121.24.99.42:8090/hls/9/index.m3u8

CCTV-1,http://116.136.170.12/mgsp-tx.live.miguvideo.com/wd_r2/cctv/cctv1hd/1200/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=

CCTV-1,https://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000

CCTV-1,http://121.24.99.180:8090/hls/9/index.m3u8

CCTV-1,http://39.134.65.179/PLTV/88888888/224/3221225816/index.m3u8

CCTV-1,http://171.8.246.172:808/hls/1/index.m3u8

CCTV-1,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8

CCTV-1,https://event.pull.hebtv.com/jishi/cp3.m3u8

CCTV-1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8

CCTV-1,http://222.137.229.154:808/hls/1/index.m3u8

CCTV-1,http://118.248.218.181:8088/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-1,http://118.122.2.29:9999/hls/1/index.m3u8

CCTV-1,http://106.46.114.72:8011/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0

CCTV-1,http://36.40.236.162:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0

CCTV-1,http://113.218.229.25:8081/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8

CCTV-1,http://121.24.99.174:8090/hls/9/index.m3u8

CCTV-1,http://123.138.216.44:9902/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-1,http://123.189.36.39:9901/tsfile/live/1156_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-1,http://218.3.138.25:1111/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-1,http://39.172.91.235:2082/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0

CCTV-1,http://39.134.66.48/PLTV/88888888/224/3221225816/index.m3u8

CCTV-1,http://223.159.9.39:8099/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0

CCTV-1,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN111128BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUU6FFmRK8Hl0ytyd5e5kWGEwoDIwMxbrlyyVy9x6ZDKnldIYKOjBOUjRyoym5n7Kg0yIYstFTUfqtC14fzxhy5Y

CCTV-1,http://39.134.65.181/PLTV/88888888/224/3221225816/index.m3u8

CCTV-1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8

CCTV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8

CCTV-2,http://222.241.154.37:9901/tsfile/live/23002_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-2,http://36.40.236.162:9999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0

CCTV-2,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8

CCTV-2,https://live.goodiptv.club/api/bestv.php?id=cctv2hd8m/8000000

CCTV-2,http://39.172.91.235:2082/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0

CCTV-2,http://113.218.229.25:8081/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-2,http://223.159.9.39:8099/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0

CCTV-2,http://116.162.6.191/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225612/index.m3u8

CCTV-2,http://118.248.218.181:8088/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-2,http://123.138.216.44:9902/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-2,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000036BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSpr1AVNI633ampcuzdN%2BfGVSARKsxkWGZw7vFUuOj2QZHeRzosIxVbl7i2QHFATHA3k5wDWG1qHkZQAleNv%2FbI

CCTV-2,http://223.112.219.174:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-2,http://39.134.66.110/PLTV/88888888/224/3221225599/index.m3u8

CCTV-2,http://219.140.56.34:3333/tsfile/live/0002_1.m3u8

CCTV-2,http://218.3.138.25:1111/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-2,http://111.11.98.205:9900/hls/2/index.m3u8

CCTV-2,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226540/index.m3u8

CCTV-2,http://123.189.36.4:9901/tsfile/live/1157_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-2,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8

CCTV-2,http://106.46.114.72:8011/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0

CCTV-2,http://116.136.170.12/mgsp-tx.live.miguvideo.com/wd_r2/cctv/cctv2hd/1500/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=

CCTV-2,http://123.189.36.39:9901/tsfile/live/1157_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-3,http://123.189.36.4:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-3,http://116.162.6.191/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225611/index.m3u8

CCTV-3,http://123.138.216.44:9902/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-3,http://118.248.218.181:8088/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8

CCTV-3,http://39.134.66.110/PLTV/88888888/224/3221225799/index.m3u8

CCTV-3,http://39.134.65.181/PLTV/88888888/224/3221225799/index.m3u8

CCTV-3,http://39.134.66.46/PLTV/88888888/224/3221225799/index.m3u8

CCTV-3,http://36.40.236.162:9999/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0

CCTV-3,http://39.134.65.183/PLTV/88888888/224/3221225799/index.m3u8

CCTV-3,http://39.134.67.226/PLTV/88888888/224/3221225799/index.m3u8

CCTV-3,https://live.goodiptv.club/api/bestv.php?id=cctv38m/8000000

CCTV-3,http://39.134.65.175/PLTV/88888888/224/3221225799/index.m3u8

CCTV-3,http://39.134.65.179/PLTV/88888888/224/3221225799/index.m3u8

CCTV-3,http://106.46.114.72:8011/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0

CCTV-3,http://116.136.170.12/mgsp-tx.live.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=

CCTV-3,http://123.160.235.128:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-3,http://123.189.36.39:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-3,http://39.134.65.173/PLTV/88888888/224/3221225799/index.m3u8

CCTV-3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8

CCTV-3,http://223.159.9.39:8099/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0

CCTV-3,http://39.172.91.235:2082/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-3,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638727c125355/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSPTZ4CK5oLfjaEYe9dogNMUNNEYLCPUtKY62j1Wp5u04wipypKUQ1TTuR2lXvBl5YpHqBJmlA19x22TD9bUOjk

CCTV-3,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8

CCTV-3,http://[2409:8087:1a01:df::4077]:80/PLTV/88888888/224/3221225799/index.m3u8

CCTV-3,http://113.218.229.25:8081/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-3,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638727c125355/index.m3u8?m3u8_level=2

CCTV-3,http://218.3.138.25:1111/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-3,http://113.110.72.52:808/hls/115/index.m3u8

CCTV-3,http://222.241.154.37:9901/tsfile/live/23003_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-4,http://210.210.155.37/qwr9ew/s/s19/index.m3u8

CCTV-4,http://123.189.36.39:9901/tsfile/live/1158_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-4,http://58.48.37.158:1111/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-4,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8

CCTV-4,http://106.46.114.72:8011/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0

CCTV-4,https://live.goodiptv.club/api/bestv.php?id=cctv4hd8m/8000000

CCTV-4,http://113.218.229.25:8081/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-4,http://39.134.66.110/PLTV/88888888/224/3221225797/index.m3u8

CCTV-4,http://219.140.56.34:3333/tsfile/live/1004_1.m3u8

CCTV-4,http://36.40.236.162:9999/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0

CCTV-4,http://222.241.154.37:9901/tsfile/live/23004_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8

CCTV-4,http://116.162.6.191/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225610/index.m3u8

CCTV-4,http://123.138.216.44:9902/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-4,http://61.136.67.238:50085/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-4,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000037BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSpr1AVNI633ampcuzdN%2BfH0ZQXwaiVktPr6ILPKXqwOUC2ZXft7ZULN6h9qLQPFOTSlVTfophiKaMb8h1kPV74

CCTV-4,http://118.248.218.181:8088/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-4,http://116.136.170.12/mgsp-tx.live.miguvideo.com/wd_r2/cctv/cctv4hd/1500/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=

CCTV-4,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8

CCTV-4,http://223.159.9.39:8099/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0

CCTV-5+,http://123.189.36.39:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-5+,http://39.134.65.173/PLTV/88888888/224/3221225507/index.m3u8

CCTV-5,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8

